sentence,original_label,original_book,book_Anna_Karenina,book_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights
Levin saw that he still hoped.,1,Anna Karenina,1,0,0,0
"Seizing the first moment of silence, Levin got up, anxious to escape, if only for an instant, from his agonizing emotion, and said that he would go and fetch his wife.",1,Anna Karenina,1,0,0,0
"Very well, and I ll tell her to tidy up here.",1,Anna Karenina,1,0,0,0
"It s dirty and stinking here, I expect.",1,Anna Karenina,1,0,0,0
Marya!,1,Anna Karenina,1,0,1,1
"clear up the room, the sick man said with effort.",1,Anna Karenina,1,0,0,0
"Oh, and when you ve cleared up, go away yourself, he added, looking inquiringly at his brother.",1,Anna Karenina,1,0,0,0
Levin made no answer.,1,Anna Karenina,1,0,0,0
"Going out into the corridor, he stopped short.",1,Anna Karenina,1,0,0,0
"He had said he would fetch his wife, but now, taking stock of the emotion he was feeling, he decided that he would try on the contrary to persuade her not to go in to the sick man.",1,Anna Karenina,1,0,0,0
Why should she suffer as I am suffering?,1,Anna Karenina,1,0,0,0
Kitty asked with a frightened face.,1,Anna Karenina,1,0,1,0
"Oh, it s awful, it s awful!",1,Anna Karenina,1,0,1,1
What did you come for?,1,Anna Karenina,1,0,0,0
"Kitty was silent for a few seconds, looking timidly and ruefully at her husband; then she went up and took him by the elbow with both hands.",1,Anna Karenina,1,0,0,0
take me to him; it will be easier for us to bear it together.,1,Anna Karenina,1,0,0,0
"You only take me, take me to him, please, and go away, she said.",1,Anna Karenina,1,0,0,0
"You must understand that for me to see you, and not to see him, is far more painful.",1,Anna Karenina,1,0,0,0
There I might be a help to you and to him.,1,Anna Karenina,1,0,0,0
"Please, let me!",1,Anna Karenina,1,0,0,1
"she besought her husband, as though the happiness of her life depended on it.",1,Anna Karenina,1,0,0,0
"Levin was obliged to agree, and regaining his composure, and completely forgetting about Marya Nikolaevna by now, he went again in to his brother with Kitty.",1,Anna Karenina,1,0,0,0
"Stepping lightly, and continually glancing at her husband, showing him a valorous and sympathetic face, Kitty went into the sick-room, and, turning without haste, noiselessly closed the door.",1,Anna Karenina,1,0,0,0
"With inaudible steps she went quickly to the sick man s bedside, and going up so that he had not to turn his head, she immediately clasped in her fresh young hand the skeleton of his huge hand, pressed it, and began speaking with that soft eagerness, sympathetic and not jarring, which is peculiar to women.",1,Anna Karenina,1,0,0,0
"We have met, though we were not acquainted, at Soden, she said.",1,Anna Karenina,1,0,0,0
You never thought I was to be your sister?,1,Anna Karenina,1,0,0,0
You would not have recognized me?,1,Anna Karenina,1,1,0,1
"he said, with a radiant smile at her entrance.",1,Anna Karenina,1,0,0,1
"Yes, I should.",1,Anna Karenina,1,0,0,0
What a good thing you let us know!,1,Anna Karenina,1,0,0,0
"Not a day has passed that Kostya has not mentioned you, and been anxious.",1,Anna Karenina,1,0,0,0
But the sick man s interest did not last long.,1,Anna Karenina,1,0,0,0
"Before she had finished speaking, there had come back into his face the stern, reproachful expression of the dying man s envy of the living.",1,Anna Karenina,1,0,0,0
"I am afraid you are not quite comfortable here, she said, turning away from his fixed stare, and looking about the room.",1,Anna Karenina,1,0,0,0
"We must ask about another room, she said to her husband, so that we might be nearer.",1,Anna Karenina,1,0,0,0
Chapter 18 Levin could not look calmly at his brother; he could not himself be natural and calm in his presence.,1,Anna Karenina,1,0,0,0
"When he went in to the sick man, his eyes and his attention were unconsciously dimmed, and he did not see and did not distinguish the details of his brother s position.",1,Anna Karenina,1,0,0,0
"He smelt the awful odor, saw the dirt, disorder, and miserable condition, and heard the groans, and felt that nothing could be done to help.",1,Anna Karenina,1,0,0,0
"It never entered his head to analyze the details of the sick man s situation, to consider how that body was lying under the quilt, how those emaciated legs and thighs and spine were lying huddled up, and whether they could not be made more comfortable, whether anything could not be done to make things, if not better, at least less bad.",1,Anna Karenina,1,0,0,0
It made his blood run cold when he began to think of all these details.,1,Anna Karenina,1,0,0,0
He was absolutely convinced that nothing could be done to prolong his brother s life or to relieve his suffering.,1,Anna Karenina,1,0,0,0
"But a sense of his regarding all aid as out of the question was felt by the sick man, and exasperated him.",1,Anna Karenina,1,0,0,0
And this made it still more painful for Levin.,1,Anna Karenina,1,0,0,0
"To be in the sick-room was agony to him, not to be there still worse.",1,Anna Karenina,1,0,0,0
"And he was continually, on various pretexts, going out of the room, and coming in again, because he was unable to remain alone.",1,Anna Karenina,1,0,0,0
"But Kitty thought, and felt, and acted quite differently.",1,Anna Karenina,1,0,1,0
"On seeing the sick man, she pitied him.",1,Anna Karenina,1,0,0,0
"And pity in her womanly heart did not arouse at all that feeling of horror and loathing that it aroused in her husband, but a desire to act, to find out all the details of his state, and to remedy them.",1,Anna Karenina,1,0,0,0
"And since she had not the slightest doubt that it was her duty to help him, she had no doubt either that it was possible, and immediately set to work.",1,Anna Karenina,1,0,0,0
"The very details, the mere thought of which reduced her husband to terror, immediately engaged her attention.",1,Anna Karenina,1,0,0,0
"She sent for the doctor, sent to the chemist s, set the maid who had come with her and Marya Nikolaevna to sweep and dust and scrub; she herself washed up something, washed out something else, laid something under the quilt.",1,Anna Karenina,1,0,0,0
"Something was by her directions brought into the sick-room, something else was carried out.",1,Anna Karenina,1,0,0,0
"She herself went several times to her room, regardless of the men she met in the corridor, got out and brought in sheets, pillow cases, towels, and shirts.",1,Anna Karenina,1,0,0,0
"The waiter, who was busy with a party of engineers dining in the dining hall, came several times with an irate countenance in answer to her summons, and could not avoid carrying out her orders, as she gave them with such gracious insistence that there was no evading her.",1,Anna Karenina,1,0,0,0
Levin did not approve of all this; he did not believe it would be of any good to the patient.,1,Anna Karenina,1,0,0,0
"Above all, he feared the patient would be angry at it.",1,Anna Karenina,1,0,0,0
"But the sick man, though he seemed and was indifferent about it, was not angry, but only abashed, and on the whole as it were interested in what she was doing with him.",1,Anna Karenina,1,0,0,0
"Coming back from the doctor to whom Kitty had sent him, Levin, on opening the door, came upon the sick man at the instant when, by Kitty s directions, they were changing his linen.",1,Anna Karenina,1,0,0,0
"The long white ridge of his spine, with the huge, prominent shoulder blades and jutting ribs and vertebrae, was bare, and Marya Nikolaevna and the waiter were struggling with the sleeve of the night shirt, and could not get the long, limp arm into it.",1,Anna Karenina,1,0,0,0
"Kitty, hurriedly closing the door after Levin, was not looking that way; but the sick man groaned, and she moved rapidly towards him.",1,Anna Karenina,1,0,0,0
"Make haste, she said.",1,Anna Karenina,1,0,1,1
"Oh, don t you come, said the sick man angrily.",1,Anna Karenina,1,0,0,0
I ll do it my myself.... What say?,1,Anna Karenina,1,0,0,0
queried Marya Nikolaevna.,1,Anna Karenina,1,0,0,0
But Kitty heard and saw he was ashamed and uncomfortable at being naked before her.,1,Anna Karenina,1,0,0,0
"I m not looking, I m not looking!",1,Anna Karenina,1,0,0,0
"she said, putting the arm in.",1,Anna Karenina,1,0,0,1
"Marya Nikolaevna, you come this side, you do it, she added.",1,Anna Karenina,1,0,0,0
"Please go for me, there s a little bottle in my small bag, she said, turning to her husband, you know, in the side pocket; bring it, please, and meanwhile they ll finish clearing up here.",1,Anna Karenina,1,0,0,0
"Returning with the bottle, Levin found the sick man settled comfortably and everything about him completely changed.",1,Anna Karenina,1,0,0,0
"The heavy smell was replaced by the smell of aromatic vinegar, which Kitty with pouting lips and puffed-out, rosy cheeks was squirting through a little pipe.",1,Anna Karenina,1,0,0,0
"There was no dust visible anywhere, a rug was laid by the bedside.",1,Anna Karenina,1,0,0,0
"On the table stood medicine bottles and decanters tidily arranged, and the linen needed was folded up there, and Kitty s _broderie anglaise_.",1,Anna Karenina,1,0,0,0
On the other table by the patient s bed there were candles and drink and powders.,1,Anna Karenina,1,0,0,0
"The sick man himself, washed and combed, lay in clean sheets on high raised pillows, in a clean night-shirt with a white collar about his astoundingly thin neck, and with a new expression of hope looked fixedly at Kitty.",1,Anna Karenina,1,0,0,0
"The doctor brought by Levin, and found by him at the club, was not the one who had been attending Nikolay Levin, as the patient was dissatisfied with him.",1,Anna Karenina,1,0,0,0
"The new doctor took up a stethoscope and sounded the patient, shook his head, prescribed medicine, and with extreme minuteness explained first how to take the medicine and then what diet was to be kept to.",1,Anna Karenina,1,0,0,0
"He advised eggs, raw or hardly cooked, and seltzer water, with warm milk at a certain temperature.",1,Anna Karenina,1,0,0,0
"When the doctor had gone away the sick man said something to his brother, of which Levin could distinguish only the last words: Your Katya.",1,Anna Karenina,1,0,0,0
"By the expression with which he gazed at her, Levin saw that he was praising her.",1,Anna Karenina,1,0,0,0
"He called indeed to Katya, as he called her.",1,Anna Karenina,1,0,0,0
"I m much better already, he said.",1,Anna Karenina,1,0,0,0
"Why, with you I should have got well long ago.",1,Anna Karenina,1,0,0,0
How nice it is!,1,Anna Karenina,1,1,0,0
"he took her hand and drew it towards his lips, but as though afraid she would dislike it he changed his mind, let it go, and only stroked it.",1,Anna Karenina,1,0,0,1
Kitty took his hand in both hers and pressed it.,1,Anna Karenina,1,0,1,0
"Now turn me over on the left side and go to bed, he said.",1,Anna Karenina,1,0,0,0
No one could make out what he said but Kitty; she alone understood.,1,Anna Karenina,1,0,0,0
She understood because she was all the while mentally keeping watch on what he needed.,1,Anna Karenina,1,0,0,0
"On the other side, she said to her husband, he always sleeps on that side.",1,Anna Karenina,1,0,0,0
"Turn him over, it s so disagreeable calling the servants.",1,Anna Karenina,1,0,0,0
I m not strong enough.,1,Anna Karenina,1,0,0,1
Can you?,1,Anna Karenina,1,0,0,0
she said to Marya Nikolaevna.,1,Anna Karenina,1,0,0,0
"I m afraid not, answered Marya Nikolaevna.",1,Anna Karenina,1,0,0,0
"Terrible as it was to Levin to put his arms round that terrible body, to take hold of that under the quilt, of which he preferred to know nothing, under his wife s influence he made his resolute face that she knew so well, and putting his arms into the bed took hold of the body, but in spite of his own strength he was struck by the strange heaviness of those powerless limbs.",1,Anna Karenina,1,0,0,0
"While he was turning him over, conscious of the huge emaciated arm about his neck, Kitty swiftly and noiselessly turned the pillow, beat it up and settled in it the sick man s head, smoothing back his hair, which was sticking again to his moist brow.",1,Anna Karenina,1,0,0,0
The sick man kept his brother s hand in his own.,1,Anna Karenina,1,0,0,0
Levin felt that he meant to do something with his hand and was pulling it somewhere.,1,Anna Karenina,1,0,0,0
"Levin yielded with a sinking heart: yes, he drew it to his mouth and kissed it.",1,Anna Karenina,1,0,0,0
"Levin, shaking with sobs and unable to articulate a word, went out of the room.",1,Anna Karenina,1,0,0,0
"Chapter 19 Thou hast hid these things from the wise and prudent, and hast revealed them unto babes.",1,Anna Karenina,1,0,0,0
So Levin thought about his wife as he talked to her that evening.,1,Anna Karenina,1,0,0,0
"Levin thought of the text, not because he considered himself wise and prudent.",1,Anna Karenina,1,0,0,0
"He did not so consider himself, but he could not help knowing that he had more intellect than his wife and Agafea Mihalovna, and he could not help knowing that when he thought of death, he thought with all the force of his intellect.",1,Anna Karenina,1,0,0,0
"He knew too that the brains of many great men, whose thoughts he had read, had brooded over death and yet knew not a hundredth part of what his wife and Agafea Mihalovna knew about it.",1,Anna Karenina,1,0,0,0
"Different as those two women were, Agafea Mihalovna and Katya, as his brother Nikolay had called her, and as Levin particularly liked to call her now, they were quite alike in this.",1,Anna Karenina,1,0,0,0
"Both knew, without a shade of doubt, what sort of thing life was and what was death, and though neither of them could have answered, and would even not have understood the questions that presented themselves to Levin, both had no doubt of the significance of this event, and were precisely alike in their way of looking at it, which they shared with millions of people.",1,Anna Karenina,1,0,0,0
"The proof that they knew for a certainty the nature of death lay in the fact that they knew without a second of hesitation how to deal with the dying, and were not frightened of them.",1,Anna Karenina,1,0,0,0
"Levin and other men like him, though they could have said a great deal about death, obviously did not know this since they were afraid of death, and were absolutely at a loss what to do when people were dying.",1,Anna Karenina,1,0,0,0
"If Levin had been alone now with his brother Nikolay, he would have looked at him with terror, and with still greater terror waited, and would not have known what else to do.",1,Anna Karenina,1,0,0,0
"More than that, he did not know what to say, how to look, how to move.",1,Anna Karenina,1,0,0,0
"To talk of outside things seemed to him shocking, impossible, to talk of death and depressing subjects also impossible.",1,Anna Karenina,1,0,0,0
"To be silent, also impossible.",1,Anna Karenina,1,0,0,0
"If I look at him he will think I am studying him, I am afraid; if I don t look at him, he ll think I m thinking of other things.",1,Anna Karenina,1,0,0,0
"If I walk on tiptoe, he will be vexed; to tread firmly, I m ashamed.",1,Anna Karenina,1,0,0,0
"Kitty evidently did not think of herself, and had no time to think about herself: she was thinking about him because she knew something, and all went well.",1,Anna Karenina,1,0,0,0
"She told him about herself even and about her wedding, and smiled and sympathized with him and petted him, and talked of cases of recovery and all went well; so then she must know.",1,Anna Karenina,1,0,0,0
"The proof that her behavior and Agafea Mihalovna s was not instinctive, animal, irrational, was that apart from the physical treatment, the relief of suffering, both Agafea Mihalovna and Kitty required for the dying man something else more important than the physical treatment, and something which had nothing in common with physical conditions.",1,Anna Karenina,1,0,0,0
"Agafea Mihalovna, speaking of the man just dead, had said: Well, thank God, he took the sacrament and received absolution; God grant each one of us such a death.",1,Anna Karenina,1,0,0,0
"Katya in just the same way, besides all her care about linen, bedsores, drink, found time the very first day to persuade the sick man of the necessity of taking the sacrament and receiving absolution.",1,Anna Karenina,1,0,0,0
"On getting back from the sick-room to their own two rooms for the night, Levin sat with hanging head not knowing what to do.",1,Anna Karenina,1,0,0,0
"Not to speak of supper, of preparing for bed, of considering what they were going to do, he could not even talk to his wife; he was ashamed to.",1,Anna Karenina,1,0,0,0
"Kitty, on the contrary, was more active than usual.",1,Anna Karenina,1,0,0,0
She was even livelier than usual.,1,Anna Karenina,1,0,0,0
"She ordered supper to be brought, herself unpacked their things, and herself helped to make the beds, and did not even forget to sprinkle them with Persian powder.",1,Anna Karenina,1,0,0,0
"She showed that alertness, that swiftness of reflection which comes out in men before a battle, in conflict, in the dangerous and decisive moments of life those moments when a man shows once and for all his value, and that all his past has not been wasted but has been a preparation for these moments.",1,Anna Karenina,1,0,0,0
"Everything went rapidly in her hands, and before it was twelve o clock all their things were arranged cleanly and tidily in her rooms, in such a way that the hotel rooms seemed like home: the beds were made, brushes, combs, looking-glasses were put out, table napkins were spread.",1,Anna Karenina,1,0,0,0
"Levin felt that it was unpardonable to eat, to sleep, to talk even now, and it seemed to him that every movement he made was unseemly.",1,Anna Karenina,1,0,0,0
"She arranged the brushes, but she did it all so that there was nothing shocking in it.",1,Anna Karenina,1,0,0,0
"They could neither of them eat, however, and for a long while they could not sleep, and did not even go to bed.",1,Anna Karenina,1,0,0,0
"I am very glad I persuaded him to receive extreme unction tomorrow, she said, sitting in her dressing jacket before her folding looking-glass, combing her soft, fragrant hair with a fine comb.",1,Anna Karenina,1,0,0,0
"I have never seen it, but I know, mamma has told me, there are prayers said for recovery.",1,Anna Karenina,1,0,0,0
Do you suppose he can possibly recover?,1,Anna Karenina,1,0,0,0
"said Levin, watching a slender tress at the back of her round little head that was continually hidden when she passed the comb through the front.",1,Anna Karenina,1,0,0,0
I asked the doctor; he said he couldn t live more than three days.,1,Anna Karenina,1,0,0,0
But can they be sure?,1,Anna Karenina,1,0,0,0
"I m very glad, anyway, that I persuaded him, she said, looking askance at her husband through her hair.",1,Anna Karenina,1,0,0,0
"Anything is possible, she added with that peculiar, rather sly expression that was always in her face when she spoke of religion.",1,Anna Karenina,1,0,0,0
"Since their conversation about religion when they were engaged neither of them had ever started a discussion of the subject, but she performed all the ceremonies of going to church, saying her prayers, and so on, always with the unvarying conviction that this ought to be so.",1,Anna Karenina,1,0,0,0
"In spite of his assertion to the contrary, she was firmly persuaded that he was as much a Christian as she, and indeed a far better one; and all that he said about it was simply one of his absurd masculine freaks, just as he would say about her _broderie anglaise_ that good people patch holes, but that she cut them on purpose, and so on.",1,Anna Karenina,1,0,0,0
"Yes, you see this woman, Marya Nikolaevna, did not know how to manage all this, said Levin.",1,Anna Karenina,1,0,0,0
And ...,1,Anna Karenina,1,1,0,0
"I must own I m very, very glad you came.",1,Anna Karenina,1,0,0,0
You are such purity that....,1,Anna Karenina,1,0,0,0
"He took her hand and did not kiss it (to kiss her hand in such closeness to death seemed to him improper); he merely squeezed it with a penitent air, looking at her brightening eyes.",1,Anna Karenina,1,0,0,1
"It would have been miserable for you to be alone, she said, and lifting her hands which hid her cheeks flushing with pleasure, twisted her coil of hair on the nape of her neck and pinned it there.",1,Anna Karenina,1,0,0,1
"No, she went on, she did not know how.... Luckily, I learned a lot at Soden.",1,Anna Karenina,1,0,0,0
Surely there are not people there so ill?,1,Anna Karenina,1,0,0,0
Worse.,1,Anna Karenina,1,0,0,1
What s so awful to me is that I can t see him as he was when he was young.,1,Anna Karenina,1,0,0,0
"You would not believe how charming he was as a youth, but I did not understand him then.",1,Anna Karenina,1,0,0,0
"I can quite, quite believe it.",1,Anna Karenina,1,0,0,0
How I feel that we might have been friends!,1,Anna Karenina,1,0,0,1
"she said; and, distressed at what she had said, she looked round at her husband, and tears came into her eyes.",1,Anna Karenina,1,1,1,1
"Yes, _might have been_, he said mournfully.",1,Anna Karenina,1,0,0,0
He s just one of those people of whom they say they re not for this world.,1,Anna Karenina,1,0,0,0
"But we have many days before us; we must go to bed, said Kitty, glancing at her tiny watch.",1,Anna Karenina,1,0,0,0
Chapter 20 The next day the sick man received the sacrament and extreme unction.,1,Anna Karenina,1,0,0,0
During the ceremony Nikolay Levin prayed fervently.,1,Anna Karenina,1,0,0,0
"His great eyes, fastened on the holy image that was set out on a card-table covered with a colored napkin, expressed such passionate prayer and hope that it was awful to Levin to see it.",1,Anna Karenina,1,0,0,0
Levin knew that this passionate prayer and hope would only make him feel more bitterly parting from the life he so loved.,1,Anna Karenina,1,0,0,0
"Levin knew his brother and the workings of his intellect: he knew that his unbelief came not from life being easier for him without faith, but had grown up because step by step the contemporary scientific interpretation of natural phenomena crushed out the possibility of faith; and so he knew that his present return was not a legitimate one, brought about by way of the same working of his intellect, but simply a temporary, interested return to faith in a desperate hope of recovery.",1,Anna Karenina,1,0,0,0
Levin knew too that Kitty had strengthened his hope by accounts of the marvelous recoveries she had heard of.,1,Anna Karenina,1,0,0,0
"Levin knew all this; and it was agonizingly painful to him to behold the supplicating, hopeful eyes and the emaciated wrist, lifted with difficulty, making the sign of the cross on the tense brow, and the prominent shoulders and hollow, gasping chest, which one could not feel consistent with the life the sick man was praying for.",1,Anna Karenina,1,0,0,0
"During the sacrament Levin did what he, an unbeliever, had done a thousand times.",1,Anna Karenina,1,0,0,0
"He said, addressing God, If Thou dost exist, make this man to recover (of course this same thing has been repeated many times), and Thou wilt save him and me.",1,Anna Karenina,1,0,0,0
After extreme unction the sick man became suddenly much better.,1,Anna Karenina,1,0,0,0
"He did not cough once in the course of an hour, smiled, kissed Kitty s hand, thanking her with tears, and said he was comfortable, free from pain, and that he felt strong and had an appetite.",1,Anna Karenina,1,0,0,0
"He even raised himself when his soup was brought, and asked for a cutlet as well.",1,Anna Karenina,1,0,0,0
"Hopelessly ill as he was, obvious as it was at the first glance that he could not recover, Levin and Kitty were for that hour both in the same state of excitement, happy, though fearful of being mistaken.",1,Anna Karenina,1,0,0,0
Is he better?,1,Anna Karenina,1,0,0,0
"Yes, much.",1,Anna Karenina,1,0,1,1
It s wonderful.,1,Anna Karenina,1,1,0,0
There s nothing wonderful in it.,1,Anna Karenina,1,0,0,0
"Anyway, he s better, they said in a whisper, smiling to one another.",1,Anna Karenina,1,0,0,0
This self-deception was not of long duration.,1,Anna Karenina,1,0,0,1
"The sick man fell into a quiet sleep, but he was waked up half an hour later by his cough.",1,Anna Karenina,1,0,0,0
And all at once every hope vanished in those about him and in himself.,1,Anna Karenina,1,0,0,0
"The reality of his suffering crushed all hopes in Levin and Kitty and in the sick man himself, leaving no doubt, no memory even of past hopes.",1,Anna Karenina,1,0,0,0
"Without referring to what he had believed in half an hour before, as though ashamed even to recall it, he asked for iodine to inhale in a bottle covered with perforated paper.",1,Anna Karenina,1,0,0,0
"Levin gave him the bottle, and the same look of passionate hope with which he had taken the sacrament was now fastened on his brother, demanding from him the confirmation of the doctor s words that inhaling iodine worked wonders.",1,Anna Karenina,1,0,0,0
Is Katya not here?,1,Anna Karenina,1,0,0,0
"he gasped, looking round while Levin reluctantly assented to the doctor s words.",1,Anna Karenina,1,0,0,0
No; so I can say it....,1,Anna Karenina,1,0,0,0
It was for her sake I went through that farce.,1,Anna Karenina,1,0,0,0
She s so sweet; but you and I can t deceive ourselves.,1,Anna Karenina,1,0,0,0
"This is what I believe in, he said, and, squeezing the bottle in his bony hand, he began breathing over it.",1,Anna Karenina,1,0,0,0
At eight o clock in the evening Levin and his wife were drinking tea in their room when Marya Nikolaevna ran in to them breathlessly.,1,Anna Karenina,1,0,0,0
"She was pale, and her lips were quivering.",1,Anna Karenina,1,0,0,1
He is dying!,1,Anna Karenina,1,0,0,1
she whispered.,1,Anna Karenina,1,0,1,1
I m afraid will die this minute.,1,Anna Karenina,1,1,0,1
Both of them ran to him.,1,Anna Karenina,1,0,0,0
"He was sitting raised up with one elbow on the bed, his long back bent, and his head hanging low.",1,Anna Karenina,1,0,0,0
How do you feel?,1,Anna Karenina,1,1,0,0
"Levin asked in a whisper, after a silence.",1,Anna Karenina,1,0,0,1
"I feel I m setting off, Nikolay said with difficulty, but with extreme distinctness, screwing the words out of himself.",1,Anna Karenina,1,0,0,0
"He did not raise his head, but simply turned his eyes upwards, without their reaching his brother s face.",1,Anna Karenina,1,0,0,0
"Katya, go away!",1,Anna Karenina,1,0,0,0
"Levin jumped up, and with a peremptory whisper made her go out.",1,Anna Karenina,1,0,0,0
"I m setting off, he said again.",1,Anna Karenina,1,0,0,1
Why do you think so?,1,Anna Karenina,1,0,0,0
"said Levin, so as to say something.",1,Anna Karenina,1,0,0,0
"Because I m setting off, he repeated, as though he had a liking for the phrase.",1,Anna Karenina,1,0,0,0
It s the end.,1,Anna Karenina,1,0,1,1
Marya Nikolaevna went up to him.,1,Anna Karenina,1,0,0,0
"You had better lie down; you d be easier, she said.",1,Anna Karenina,1,0,0,0
"I shall lie down soon enough, he pronounced slowly, when I m dead, he said sarcastically, wrathfully.",1,Anna Karenina,1,0,0,0
"Well, you can lay me down if you like.",1,Anna Karenina,1,0,0,0
"Levin laid his brother on his back, sat down beside him, and gazed at his face, holding his breath.",1,Anna Karenina,1,0,0,0
"The dying man lay with closed eyes, but the muscles twitched from time to time on his forehead, as with one thinking deeply and intensely.",1,Anna Karenina,1,0,0,0
"Levin involuntarily thought with him of what it was that was happening to him now, but in spite of all his mental efforts to go along with him he saw by the expression of that calm, stern face that for the dying man all was growing clearer and clearer that was still as dark as ever for Levin.",1,Anna Karenina,1,0,0,0
"Yes, yes, so, the dying man articulated slowly at intervals.",1,Anna Karenina,1,0,0,0
Wait a little.,1,Anna Karenina,1,0,0,1
He was silent.,1,Anna Karenina,1,1,1,1
Right!,1,Anna Karenina,1,1,1,1
"he pronounced all at once reassuringly, as though all were solved for him.",1,Anna Karenina,1,0,0,0
O Lord!,1,Anna Karenina,1,1,1,1
"he murmured, and sighed deeply.",1,Anna Karenina,1,0,0,1
Marya Nikolaevna felt his feet.,1,Anna Karenina,1,0,0,0
"They re getting cold, she whispered.",1,Anna Karenina,1,0,0,0
"For a long while, a very long while it seemed to Levin, the sick man lay motionless.",1,Anna Karenina,1,0,0,0
"But he was still alive, and from time to time he sighed.",1,Anna Karenina,1,0,0,0
Levin by now was exhausted from mental strain.,1,Anna Karenina,1,0,0,0
"He felt that, with no mental effort, could he understand what it was that was _right_.",1,Anna Karenina,1,0,0,1
"He could not even think of the problem of death itself, but with no will of his own thoughts kept coming to him of what he had to do next; closing the dead man s eyes, dressing him, ordering the coffin.",1,Anna Karenina,1,0,0,0
"And, strange to say, he felt utterly cold, and was not conscious of sorrow nor of loss, less still of pity for his brother.",1,Anna Karenina,1,0,0,1
"If he had any feeling for his brother at that moment, it was envy for the knowledge the dying man had now that he could not have.",1,Anna Karenina,1,0,0,1
"A long time more he sat over him so, continually expecting the end.",1,Anna Karenina,1,0,0,0
But the end did not come.,1,Anna Karenina,1,0,0,1
The door opened and Kitty appeared.,1,Anna Karenina,1,0,1,0
Levin got up to stop her.,1,Anna Karenina,1,0,0,0
"But at the moment he was getting up, he caught the sound of the dying man stirring.",1,Anna Karenina,1,0,0,0
"Don t go away, said Nikolay and held out his hand.",1,Anna Karenina,1,0,0,0
"Levin gave him his, and angrily waved to his wife to go away.",1,Anna Karenina,1,0,0,0
"With the dying man s hand in his hand, he sat for half an hour, an hour, another hour.",1,Anna Karenina,1,0,0,0
He did not think of death at all now.,1,Anna Karenina,1,0,0,0
He wondered what Kitty was doing; who lived in the next room; whether the doctor lived in a house of his own.,1,Anna Karenina,1,0,0,0
He longed for food and for sleep.,1,Anna Karenina,1,0,0,0
He cautiously drew away his hand and felt the feet.,1,Anna Karenina,1,0,0,0
"The feet were cold, but the sick man was still breathing.",1,Anna Karenina,1,0,0,0
"Levin tried again to move away on tiptoe, but the sick man stirred again and said: Don t go.",1,Anna Karenina,1,0,0,0
The dawn came; the sick man s condition was unchanged.,1,Anna Karenina,1,0,0,0
"Levin stealthily withdrew his hand, and without looking at the dying man, went off to his own room and went to sleep.",1,Anna Karenina,1,0,0,0
"When he woke up, instead of news of his brother s death which he expected, he learned that the sick man had returned to his earlier condition.",1,Anna Karenina,1,0,0,0
"He had begun sitting up again, coughing, had begun eating again, talking again, and again had ceased to talk of death, again had begun to express hope of his recovery, and had become more irritable and more gloomy than ever.",1,Anna Karenina,1,0,0,0
"No one, neither his brother nor Kitty, could soothe him.",1,Anna Karenina,1,0,0,0
"He was angry with everyone, and said nasty things to everyone, reproached everyone for his sufferings, and insisted that they should get him a celebrated doctor from Moscow.",1,Anna Karenina,1,0,0,0
"To all inquiries made him as to how he felt, he made the same answer with an expression of vindictive reproachfulness, I m suffering horribly, intolerably!",1,Anna Karenina,1,0,0,1
"The sick man was suffering more and more, especially from bedsores, which it was impossible now to remedy, and grew more and more angry with everyone about him, blaming them for everything, and especially for not having brought him a doctor from Moscow.",1,Anna Karenina,1,0,0,0
"Kitty tried in every possible way to relieve him, to soothe him; but it was all in vain, and Levin saw that she herself was exhausted both physically and morally, though she would not admit it.",1,Anna Karenina,1,0,0,0
"The sense of death, which had been evoked in all by his taking leave of life on the night when he had sent for his brother, was broken up.",1,Anna Karenina,1,0,0,0
"Everyone knew that he must inevitably die soon, that he was half dead already.",1,Anna Karenina,1,0,0,0
"Everyone wished for nothing but that he should die as soon as possible, and everyone, concealing this, gave him medicines, tried to find remedies and doctors, and deceived him and themselves and each other.",1,Anna Karenina,1,0,0,0
"All this was falsehood, disgusting, irreverent deceit.",1,Anna Karenina,1,0,0,1
"And owing to the bent of his character, and because he loved the dying man more than anyone else did, Levin was most painfully conscious of this deceit.",1,Anna Karenina,1,0,0,0
"Levin, who had long been possessed by the idea of reconciling his brothers, at least in face of death, had written to his brother, Sergey Ivanovitch, and having received an answer from him, he read this letter to the sick man.",1,Anna Karenina,1,0,0,0
"Sergey Ivanovitch wrote that he could not come himself, and in touching terms he begged his brother s forgiveness.",1,Anna Karenina,1,0,0,0
The sick man said nothing.,1,Anna Karenina,1,0,0,0
What am I to write to him?,1,Anna Karenina,1,0,0,0
I hope you are not angry with him?,1,Anna Karenina,1,0,0,0
"No, not the least!",1,Anna Karenina,1,1,1,1
"Nikolay answered, vexed at the question.",1,Anna Karenina,1,0,0,0
Tell him to send me a doctor.,1,Anna Karenina,1,0,0,0
Three more days of agony followed; the sick man was still in the same condition.,1,Anna Karenina,1,0,0,0
"The sense of longing for his death was felt by everyone now at the mere sight of him, by the waiters and the hotel-keeper and all the people staying in the hotel, and the doctor and Marya Nikolaevna and Levin and Kitty.",1,Anna Karenina,1,0,0,0
"The sick man alone did not express this feeling, but on the contrary was furious at their not getting him doctors, and went on taking medicine and talking of life.",1,Anna Karenina,1,0,0,0
